315,13b,E,SCPD/FD Disp,Police/Fire Dispatch,Multi-Dispatch,Jackson County - Sugar Creek,1
400,190,E,IPD TAC 2 *E,IPD Tactical 2 [IPD TAC 2],Law Tac,Jackson County MO - Independence Police,1
3800,ed8,D,BlueSpr PD1,Blue Springs Police: Dispatch,Law Dispatch,Jackson County MO,1
3801,ed9,D,BlueSpr PD2,Blue Springs Police: North Zone,Law Dispatch,Jackson County MO,1
3802,eda,D,BlueSpr PD3,Blue Springs Police: South Zone,Law Dispatch,Jackson County MO,1
3821,eed,D,BlueSpsPark1,Blue Springs Parks 1,Public Works,Jackson County MO,1
3822,eee,D,BlueSpr PW1,Blue Springs Public Works 1,Public Works,Jackson County MO,1
3823,eef,D,BlueSpr PW2,Blue Springs Public Works 2,Public Works,Jackson County MO,1
3901,f3d,D,EJCFire Tac2,East Jackson County Fire: Tac 2,Fire-Tac,Jackson County MO,1
30000,7530,D,JoCoSO- ATG,Johnson County Sheriff -- Announce (All Call),Law Dispatch,Johnson County Ks Sheriff,1
30001,7531,D,JoCoSONorth1,Johnson County Sheriff -- North Zone Primary,Law Dispatch,Johnson County Ks Sheriff,1
30002,7532,E,JoCoSONorth2,Johnson County Sheriff -- North Zone Secondary (encrypted),Law Tac,Johnson County Ks Sheriff,1
30003,7533,D,JoCoSOSouth1,Johnson County Sheriff -- South Zone Primary,Law Dispatch,Johnson County Ks Sheriff,1
30004,7534,E,JoCoSOSouth2,Johnson County Sheriff -- South Zone Secondary (encrypted),Law Tac,Johnson County Ks Sheriff,1
30005,7535,E,JoCoSO Zn3-1,Johnson County Sheriff -- Zone 3 Primary,Law Dispatch,Johnson County Ks Sheriff,1
30006,7536,D,JoCoSO Zn3-2,Johnson County Sheriff -- Zone 3 Secondary,Law Dispatch,Johnson County Ks Sheriff,1
30007,7537,D,JoCoSO Cmnty,Johnson County Sheriff -- Community Patrols,Law Tac,Johnson County Ks Sheriff,1
30015,753f,D,JoCoSO Tac 1,Johnson County Sheriff -- Tac 1,Law Tac,Johnson County Ks Sheriff,1
30016,7540,D,JoCoSO Tac 2,Johnson County Sheriff -- Tac 2,Law Tac,Johnson County Ks Sheriff,1
30017,7541,D,JoCoSO Tac 3,Johnson County Sheriff -- Tac 3,Law Tac,Johnson County Ks Sheriff,1
30020,7544,D,JoCoSO Civil,Johnson County Sheriff -- Civil Paper Servers,Law Talk,Johnson County Ks Sheriff,1
30021,7545,D,JoCoSOWarnts,Johnson County Sheriff -- Warrants,Law Talk,Johnson County Ks Sheriff,1
30022,7546,E,JoCoSO Invst,Johnson County Sheriff -- Investigations,Law Tac,Johnson County Ks Sheriff,1
30030,754e,D,JoCoSO Covrt,Johnson County Sheriff -- Covert Operations,Law Tac,Johnson County Ks Sheriff,1
30031,754f,E,JoCoSO Narcs,Johnson County Sheriff -- Narcotics,Law Tac,Johnson County Ks Sheriff,1
30032,7550,D,JoCoSO Admin,Johnson County Sheriff -- Administration,Law Talk,Johnson County Ks Sheriff,1
30033,7551,D,JoCoSO ADC-1,Johnson County Sheriff -- ADC-1,Law Talk,Johnson County Ks Sheriff,1
30034,7552,D,JoCoSO ADC-2,Johnson County Sheriff -- ADC-2,Law Talk,Johnson County Ks Sheriff,1
30035,7553,D,JoCoSO Cort1,Johnson County Sheriff -- Courthouse Security 1,Law Dispatch,Johnson County Ks Sheriff,1
30036,7554,D,JoCoSO Cort2,Johnson County Sheriff -- Courthouse Security 2,Law Tac,Johnson County Ks Sheriff,1
30037,7555,D,TheJO Xpress,The JO (Johnson County Transit) Express,Transportation,Johnson County Ks Transit -- The JO,1
30100,7594,D,JoCoECC All,Johnson County Emergency Communications Center -- Announce (All Call),Emergency Ops,Johnson County Ks Emergency Communications Center (ECC),1
30101,7595,D,JoCoECC Main,Johnson County Fire and EMS Dispatch,Fire Dispatch,Johnson County Ks Emergency Communications Center (ECC),1
30102,7596,D,JoCo ECC Ops,Johnson County Fire and EMS Operations,Fire Dispatch,Johnson County Ks Emergency Communications Center (ECC),1
30103,7597,D,JoCoECC Tac3,Johnson County Fire and EMS Tac 3 / Admin,Fire-Tac,Johnson County Ks Emergency Communications Center (ECC),1
30104,7598,E,JoCoECC Tac4,Johnson County Fire and EMS Tac 4 (now fully encrypted),Fire-Tac,Johnson County Ks Emergency Communications Center (ECC),1
30105,7599,E,JoCoECC Tac5,Johnson County Fire and EMS Tac 5 (now fully encrypted),Fire-Tac,Johnson County Ks Emergency Communications Center (ECC),1
30106,759a,E,JoCoECC Tac6,Johnson County Fire and EMS Tac 6 (now fully encrypted),Fire-Tac,Johnson County Ks Emergency Communications Center (ECC),1
30107,759b,E,JoCoECC Tac7,Johnson County Fire and EMS Tac 7 (now fully encrypted),Fire-Tac,Johnson County Ks Emergency Communications Center (ECC),1
30108,759c,E,JoCoECC Tac8,Johnson County Fire and EMS Tac 8 (now fully encrypted),Fire-Tac,Johnson County Ks Emergency Communications Center (ECC),1
30109,759d,E,JoCoECC Tac9,Johnson County Fire and EMS Tac 9 (now fully encrypted),Fire-Tac,Johnson County Ks Emergency Communications Center (ECC),1
30110,759e,D,JoCoECC Emrg,Johnson County Emergency Communications Center -- Emergency,Emergency Ops,Johnson County Ks Emergency Communications Center (ECC),1
30140,75bc,D,JoCoInterop1,Johnson County Interop Announce (All Call),Interop,Johnson County Ks: Interoperations,1
30142,75be,D,JoCoInterop2,Johnson County Interop-2,Interop,Johnson County Ks: Interoperations,1
30143,75bf,D,JoCoInterop3,Johnson County Interop-3,Interop,Johnson County Ks: Interoperations,1
30144,75c0,D,JoCoInterop4,Johnson County Interop-4,Interop,Johnson County Ks: Interoperations,1
30145,75c1,D,JoCoInterop5,Johnson County Interop-5,Interop,Johnson County Ks: Interoperations,1
30146,75c2,D,JoCoInterop6,Johnson County Interop-6,Interop,Johnson County Ks: Interoperations,1
30147,75c3,D,JoCoInterop7,Johnson County Interop-7,Interop,Johnson County Ks: Interoperations,1
30148,75c4,D,JoCoInterop8,Johnson County Interop-8,Interop,Johnson County Ks: Interoperations,1
30149,75c5,D,JoCoInterop9,Johnson County Interop-9,Interop,Johnson County Ks: Interoperations,1
30150,75c6,D,JoCoIOpEmerg,Johnson County Interop Emergency,Interop,Johnson County Ks: Interoperations,1
30180,75e4,D,JoCoECC Admn,Johnson County Emergency Mangement -- Administration,Emergency Ops,Johnson County Ks Emergency Communications Center (ECC),1
30251,762b,D,Jo Co EOC,Johnson County Emergency Operations Center -- Storms,Emergency Ops,Johnson County Ks Emergency Communications Center (ECC),1
30280,7648,D,JoCo PS All,Johnson County Public Safety -- Announce (All Call),Interop,Johnson County Ks Public Safety Common,1
30281,7649,D,PS Disp,PS Dispatch - MARRS Wide Information,Interop,Regional Interop,1
30282,764a,D,JoCo PS Com1,Johnson County Public Safety -- Com 1,Interop,Johnson County Ks Public Safety Common,1
30283,764b,D,JoCo PS Com2,Johnson County Public Safety -- Com 2,Interop,Johnson County Ks Public Safety Common,1
